ITS1,ITS2,X18S
Absidia,Absidia,Absidia
Acaulium,Acremonium,Acremonium
Acremonium,Acrodontium,Alternaria
Acrodontium,Acrostalagmus,Amanita
Acrostalagmus,Agaricus,Apiotrichum
Agaricus,Alatosessilispora,Archaeorhizomyces
Alatosessilispora,Allantophomopsiella,Arthrinium
Alatospora,Alternaria,Aspergillus
Alternaria,Amanita,Aureobasidium
Amanita,Amyloporia,Beauveria
Amyloporia,Angustimassarina,Bensingtonia
Amyloxenasma,Antrodiella,Blastobotrys
Angustimassarina,Aphanobasidium,Blyttiomyces
Antrodiella,Aphanocladium,Botrytis
Aphanobasidium,Apiotrichum,Brachysporium
Apiospora,Arachnopeziza,Bradymyces
Apiotrichum,Archaeorhizomyces,Buckleyzyma
Arachnopeziza,Arcopilus,Candida
Archaeorhizomyces,Arthrocatena,Canomyces
Arthrocatena,Articulospora,Capronia
Articulospora,Ascocorticium,Carcinomyces
Ascocorticium,Ascocoryne,Cladophialophora
Aspergillus,Aspergillus,Cladosporium
Atrocalyx,Aurantiporus,Conidiobolus
Aurantiporus,Aureobasidium,Cordyceps
Aureobasidium,Auriscalpium,Cunninghamella
Auriscalpium,Bacidina,Curvibasidium
Bacidina,Backusella,Cyphellophora
Backusella,Baeospora,Cystobasidiopsis
Baeospora,Bandoniozyma,Cystobasidium
Ballistosporomyces,Beauveria,Cystofilobasidium
Beauveria,Bellamyces,Debaryomyces
Bensingtonia,Bensingtonia,Delphinella
Bjerkandera,Bjerkandera,Dioszegia
Blumeria,Blumeria,Duddingtonia
Botryobasidium,Botryobasidium,Exobasidium
Botrytis,Botrytis,Exophiala
Brachysporium,Buckleyzyma,Farysia
Buckleyzyma,Bullera,Fellomyces
Bullera,Byssocorticium,Fellozyma
Byssocorticium,Cadophora,Fereydounia
Cadophora,Calcarisporium,Filobasidium
Calcarisporium,Calophoma,Fusarium
Calyptella,Calyptella,Geranomyces
Candida,Candida,Graphiola
Candolleomyces,Candolleomyces,Hannaella
Capnobotryella,Capnobotryella,Hanseniaspora
Capronia,Capronia,Helicoma
Capturomyces,Capturomyces,Heterocephalacria
Carlosrosaea,Carlosrosaea,Hortaea
Catenulostroma,Catenulostroma,Hygrophoropsis
Cephalotheca,Cephalotheca,Hyphodontia
Ceramothyrium,Ceramothyrium,Knufia
Ceratobasidium,Ceratobasidium,Kockovaella
Ceriporia,Cerinomyces,Komagataella
Chaetasbolisia,Ceriporia,Kondoa
Chaetosphaeria,Chaetasbolisia,Kuehneola
Chalara,Chaetomium,Kurtzmanomyces
Chionosphaera,Chaetosphaeria,Laetisaria
Chlamydocillium,Chalara,Leucothecium
Chloridium,Chionosphaera,Lophium
Ciliolarina,Chloridium,Malassezia
Cladophialophora,Chondrostereum,Melampsora
Cladosporium,Chrysosporium,Metarhizium
Clathrosphaerina,Ciliolarina,Metschnikowia
Claviceps,Cistella,Mucor
Clitopilus,Cladophialophora,Myrmecridium
Clonostachys,Cladosporium,Mytilinidion
Codinaeella,Clathrosphaerina,Naganishia
Colacogloea,Claviceps,Naohidea
Coniella,Clavispora,Neophaeomoniella
Coniochaeta,Clitopilus,Olpidium
Coniophora,Clonostachys,Papiliotrema
Coniothyrium,Codinaeella,Paramicrosporidium
Conlarium,Colacogloea,Paratritirachium
Constantinomyces,Coleophoma,Phaeoisaria
Coprinellus,Colpoma,Phaffia
Coprinopsis,Coniella,Phyllosticta
Cortinarius,Coniochaeta,Piptocephalis
Crocicreas,Coniophora,Plagiostoma
Cryptococcus,Conlarium,Pleospora
Cryptosporiopsis,Constantinomyces,Preussia
Curvibasidium,Coprinellus,Pseudohyphozyma
Cutaneotrichosporon,Coprinopsis,Pseudotremella
Cylindrium,Cordyceps,Ramularia
Cylindromonium,Corticium,Recurvomyces
Cystobasidiopsis,Cortinarius,Rhizoclosmatium
Cystobasidium,Crepidotus,Rhodoveronaea
Cystofilobasidium,Crocicreas,Rhynchogastrema
Cytospora,Cryptococcus,Rigidoporus
Daedaleopsis,Cryptodiscus,Ruinenia
Davidhawksworthia,Cryptosporiopsis,Saccharomyces
Debaryomyces,Cryptotrichosporon,Schizophyllum
Dendrophoma,Cunninghamella,Schwanniomyces
Dendryphiella,Curvibasidium,Scleroderma
Dendryphion,Curvularia,Scorias
Desmazierella,Cutaneotrichosporon,Spiromastigoides
Devriesia,Cylindrium,Starmerella
Diaporthe,Cylindromonium,Suillus
Didymocyrtis,Cylindrosympodium,Syncephalastrum
Dioszegia,Cyphellophora,Taphrina
Diplomitoporus,Cystobasidiopsis,Tetracladium
Diutina,Cystobasidium,Thysanophora
Dothiora,Cystoderma,Tilletia
Earliella,Cystofilobasidium,Torula
Entomortierella,Cytospora,Trechispora
Erysiphe,Daedaleopsis,Tremella
Erythricium,Davidhawksworthia,Trichoderma
Erythrobasidium,Debaryomyces,Trichomonascus
Exidia,Dendrophoma,Tritirachium
Exobasidium,Dendryphiella,Tyrannosorus
Exophiala,Dendryphion,Udeniomyces
Extremus,Desmazierella,Umbelopsis
Farysia,Devriesia,Ustilentyloma
Fellomyces,Diaporthe,Vanrija
Fellozyma,Dichotomopilus,Vishniacozyma
Filobasidium,Dinemasporium,Vuilleminia
Flavocillium,Dioszegia,Wallemia
Fomes,Diplodia,Wickerhamiella
Fomitopsis,Diplomitoporus,Yarrowia
Formicomyces,Dissoconium,Yunzhangia
Furcasterigmium,Diutina,
Fusarium,Endosporium,
Gamszarea,Enterocarpus,
Ganoderma,Entomortierella,
Geastrum,Entyloma,
Gelidatrema,Eocronartium,
Genea,Epichloe,
Genolevuria,Erysiphe,
Geomyces,Erythricium,
Gibellulopsis,Erythrobasidium,
Glutinomyces,Exidia,
Gnomonia,Exobasidium,
Gnomoniopsis,Exophiala,
Gongronella,Fagicola,
Gorgomyces,Farysia,
Gymnopus,Fellozyma,
Halokirschsteiniothelia,Filobasidium,
Hamamotoa,Flavocillium,
Hannaella,Fomes,
Hanseniaspora,Fomitopsis,
Hansfordia,Fonsecazyma,
Helicoma,Formicomyces,
Helicosporium,Funiliomyces,
Helminthosporium,Fusarium,
Heterocephalacria,Fusicladium,
Heterophoma,Ganoderma,
Heterotruncatella,Gelidatrema,
Hormographiella,Genolevuria,
Hormonema,Geomyces,
Humicola,Geranomyces,
Hyaloscypha,Gibellulopsis,
Hydnomerulius,Gloeocystidiellum,
Hygrophoropsis,Glutinomyces,
Hymenochaete,Gnomonia,
Hymenoscyphus,Godronia,
Hyphoderma,Gongronella,
Hyphodiscus,Gorgomyces,
Hyphodontia,Gorgoniceps,
Hypholoma,Gymnopus,
Hypocenomyce,Gymnostellatospora,
Hypochnicium,Halokirschsteiniothelia,
Hypomyces,Hannaella,
Hypoxylon,Hansfordia,
Ilyonectria,Helicoma,
Imleria,Heterobasidion,
Infundichalara,Heterophaeomoniella,
Inocybe,Heterotruncatella,
Irpex,Hormographiella,
Itersonilia,Hormonema,
Jattaea,Hyalodendriella,
Kalmanozyma,Hyaloscypha,
Kavinia,Hydnomerulius,
Keissleriella,Hygrophoropsis,
Keithomyces,Hymenochaete,
Kiflimonium,Hymenoscyphus,
Kneiffiella,Hyphodiscus,
Knufia,Hyphodontia,
Kockovaella,Hypholoma,
Kondoa,Hypocenomyce,
Kordyana,Hypochnicium,
Krasilnikovozyma,Hypomyces,
Kuehneola,Hypoxylon,
Kurtzmanomyces,Hysterium,
Kwoniella,Idriella,
Lachnellula,Ilyonectria,
Lapidomyces,Imleria,
Lasionectriopsis,Infundichalara,
Lepraria,Inocybe,
Leptobacillium,Iodosphaeria,
Leptodontidium,Irpex,
Leptosphaeria,Itersonilia,
Leptospora,Jattaea,
Leucoagaricus,Kalmanozyma,
Leucogyrophana,Keissleriella,
Leucosporidium,Keithomyces,
Linnemannia,Kiflimonium,
Lophiostoma,Knufia,
Lophium,Kochiomyces,
Lophodermium,Kockovaella,
Luellia,Kondoa,
Lycoperdon,Krasilnikovozyma,
Malassezia,Kuehneola,
Marasmius,Kurtzmaniella,
Mariannaea,Kurtzmanomyces,
Marsupiomyces,Kwoniella,
Melanconis,Lachnellula,
Melanodiplodia,Lachnum,
Meliniomyces,Laetinaevia,
Metacordyceps,Lapidomyces,
Metapochonia,Lasionectriopsis,
Metarhizium,Lecanicillium,
Meyerozyma,Lentinus,
Microdochium,Lepraria,
Microsporomyces,Leptobacillium,
Mortierella,Leptodontidium,
Mrakia,Leptosphaeria,
Mucor,Leptospora,
Murispora,Leucoagaricus,
Mycena,Leucogyrophana,
Mycoacia,Leucosporidium,
Myriangium,Liangia,
Myriococcum,Limonomyces,
Myrmecridium,Linnemannia,
Mytilinidion,Lophiostoma,
Myxospora,Lophium,
Naematelia,Lophodermium,
Naganishia,Luellia,
Naohidea,Lycoperdon,
Nemania,Malassezia,
Nematoctonus,Mariannaea,
Neoascochyta,Marquandomyces,
Neocatenulostroma,Melampsora,
Neochalara,Melanconiella,
Neocladophialophora,Melanconis,
Neocladosporium,Meliniomyces,
Neocucurbitaria,Metacordyceps,
Neodevriesia,Metarhiziopsis,
Neoerysiphe,Metarhizium,
Neohelicomyces,Meyerozyma,
Neohortaea,Microdochium,
Neomyrmecridium,Microsporomyces,
Neophaeococcomyces,Microstroma,
Neosetophoma,Mollisina,
Neostagonospora,Mortierella,
Neovaginatispora,Mrakia,
Niesslia,Mucor,
Nigrograna,Murispora,
Nigrospora,Mycena,
Oberwinklerozyma,Mycoacia,
Oidiodendron,Mycoarthris,
Oncopodiella,Mycosylva,
Ophiognomonia,Myriangium,
Orbilia,Myriococcum,
Ovicillium,Myrmecridium,
Oxyporus,Mytilinidion,
Pandora,Naematelia,
Papiliotrema,Naganishia,
Paraconiothyrium,Naohidea,
Paradevriesia,Nematoctonus,
Paraphaeosphaeria,Neoacrodontiella,
Paraphoma,Neoacrodontium,
Parastagonospora,Neoascochyta,
Parathyridaria,Neocatenulostroma,
Paratritirachium,Neocladophialophora,
Paxillus,Neocladosporium,
Pectenia,Neocucurbitaria,
Penicillium,Neodevriesia,
Penidiella,Neoerysiphe,
Peniophora,Neomyrmecridium,
Peniophorella,Neophaeococcomyces,
Periconia,Neophaeomoniella,
Perusta,Neopseudolachnella,
Petrophila,Neosetophoma,
Phacidium,Neostagonospora,
Phaeococcomyces,Neovaginatispora,
Phaeodactylium,Niesslia,
Phaeosclera,Nigrograna,
Phaeosphaeria,Nigrospora,
Phaeotheca,Oberwinklerozyma,
Phaeothecoidea,Ochroconis,
Phaeotremella,Oidiodendron,
Phaffia,Oncopodiella,
Phallus,Orbilia,
Phanerochaete,Ovicillium,
Phialemonium,Oxyporus,
Phialocephala,Paecilomyces,
Phialophora,Papiliotrema,
Phlebia,Paradevriesia,
Phomatospora,Paraphaeosphaeria,
Pichia,Paraphoma,
Pilidium,Parapyrenochaeta,
Piloderma,Parastagonospora,
Piniphoma,Parathyridaria,
Piskurozyma,Paratritirachium,
Pleuroascus,Parmelia,
Pleurophoma,Pascua,
Pleurotus,Paxillus,
Podila,Pectenia,
Polyscytalum,Peltaster,
Porostereum,Penicillago,
Postia,Penicillium,
Preussia,Peniophora,
Priceomyces,Peniophorella,
Prillingera,Periconia,
Proliferodiscus,Perusta,
Protomyces,Phaeococcomyces,
Pseudobensingtonia,Phaeodactylium,
Pseudocamarosporium,Phaeosclera,
Pseudocoleophoma,Phaeosphaeria,
Pseudocosmospora,Phaeotheca,
Pseudocyclothyriella,Phaeothecoidea,
Pseudodictyosporium,Phaeotremella,
Pseudogymnoascus,Phaffia,
Pseudohyphozyma,Phallus,
Pseudomerulius,Phanerochaete,
Pseudophialocephala,Phialemonium,
Pseudopithomyces,Phialocephala,
Pseudoplectania,Phialophora,
Pseudoramichloridium,Phlebia,
Pseudotremella,Pholiota,
Pseudoveronaea,Physcia,
Pyrenochaetopsis,Pilidium,
Pyrenopeziza,Piloderma,
Pyrenophora,Pinaceicola,
Pyrigemmula,Piniphoma,
Rachicladosporium,Piptocephalis,
Radulidium,Piskurozyma,
Radulomyces,Placynthiella,
Ragnhildiana,Plectania,
Ramichloridium,Pleurophoma,
Ramularia,Pleurotus,
Resinicium,Pochonia,
Rhinocladiella,Podila,
Rhodocybe,Podosphaera,
Rhodosporidiobolus,Polyozellus,
Rhodotorula,Polyscytalum,
Rhodoveronaea,Preussia,
Russula,Priceomyces,
Saccharomyces,Proliferodiscus,
Saitozyma,Pseudoanungitea,
Sampaiozyma,Pseudobensingtonia,
Sarea,Pseudocamaropycnis,
Sarocladium,Pseudocoleophoma,
Schizophyllum,Pseudocosmospora,
Schwanniomyces,Pseudocyclothyriella,
Scleroderma,Pseudogymnoascus,
Scleropezicula,Pseudohyphozyma,
Sclerostagonospora,Pseudomerulius,
Scolecolachnum,Pseudomicrostroma,
Scoliciosporum,Pseudophialocephala,
Scopuloides,Pseudopithomyces,
Selenophoma,Pseudoplectania,
Septobasidium,Pseudotomentella,
Septoriella,Pseudotremella,
Serendipita,Pseudoveronaea,
Simplicillium,Puccinia,
Sistotrema,Pyrenochaetopsis,
Sistotremastrum,Pyrenopeziza,
Skeletocutis,Rachicladosporium,
Slooffia,Radulidium,
Solicoccozyma,Radulomyces,
Sorocybe,Ragnhildiana,
Sphaerobolus,Ramichloridium,
Sphaeropsis,Ramularia,
Sphaerostilbella,Resinicium,
Sporidesmiella,Retiarius,
Sporidesmium,Rhinocladiella,
Sporobolomyces,Rhizophlyctis,
Stagonosporopsis,Rhodocybe,
Steccherinum,Rhodosporidiobolus,
Stereum,Rhodotorula,
Stropharia,Rhodoveronaea,
Suillus,Ruinenia,
Symmetrospora,Russula,
Talaromyces,Saccharomyces,
Taphrina,Sagenomella,
Tapinella,Saitozyma,
Teichospora,Sarea,
Terfezia,Sarocladium,
Thelocarpon,Sawadaea,
Thyronectria,Schizophyllum,
Tilletia,Schizopora,
Tilletiopsis,Schwanniomyces,
Tolypocladium,Scleroconidioma,
Tomentella,Scleroderma,
Tomentellopsis,Scleropezicula,
Torula,Sclerostagonospora,
Toxicocladosporium,Scoliciosporum,
Trametes,Scopuloides,
Trechispora,Septobasidium,
Tremella,Septonema,
Trichaptum,Septoriella,
Trichoderma,Setomelanomma,
Trichomerium,Simplicillium,
Trichophaea,Sirotrema,
Trichothecium,Sistotrema,
Tricladium,Sistotremastrum,
Tritirachium,Skeletocutis,
Tubaria,Slooffia,
Udeniomyces,Solicoccozyma,
Umbelopsis,Sonoraphlyctis,
Urocystis,Sorocybe,
Ustilago,Sphaerobolus,
Vararia,Sphaeropsis,
Veronaea,Sphaerostilbella,
Verrucocladosporium,Sporobolomyces,
Verticillium,Sporormiella,
Vishniacozyma,Stagonospora,
Volutella,Steccherinum,
Vuilleminia,Stemphylium,
Waitea,Stereum,
Wallemia,Stropharia,
Xenasmatella,Suillus,
Xenopolyscytalum,Symmetrospora,
Xerocomellus,Sympodiella,
Xeromphalina,Syncephalis,
Yamadamyces,Taeniospora,
Yamadazyma,Talaromyces,
Yurkovia,Taphrina,
Zymoseptoria,Tapinella,
,Terfezia,
,Thelebolus,
,Thermomyces,
,Thyridium,
,Tilletia,
,Tilletiopsis,
,Tomentella,
,Tomentellopsis,
,Torula,
,Toxicocladosporium,
,Trametes,
,Trechispora,
,Tremella,
,Trichaptum,
,Trichoderma,
,Trichomerium,
,Trichophaea,
,Tricladium,
,Tritirachium,
,Tubaria,
,Tulasnella,
,Tympanis,
,Udeniomyces,
,Umbelopsis,
,Ustilago,
,Venturia,
,Veronaea,
,Veronaeopsis,
,Verrucocladosporium,
,Verticillium,
,Vishniacozyma,
,Vonarxula,
,Vuilleminia,
,Waitea,
,Xenasmatella,
,Xenochalara,
,Xenopolyscytalum,
,Xylodon,
,Yamadamyces,
,Yamadazyma,
,Yarrowia,
,Yurkovia,
,Zymoseptoria,
